"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012/2013","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","25245","","","","0"
"2013/2014","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","25011","","","","0"
"2014/2015","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","24879","","","","0"
"2015/2016","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","24831","","","","0"
"2016/2017","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","25023","","","","0"
"2002/2003","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","38127","","","","0"
"2003/2004","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","37356","","","","0"
"2004/2005","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","37722","","","","0"
"2005/2006","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","39057","","","","0"
"2006/2007","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","41931","","","","0"
"2007/2008","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","42594","","","","0"
"2008/2009","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","42705","","","","0"
"2009/2010","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","42651","","","","0"
"2010/2011","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","42684","","","","0"
"2011/2012","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","42777","","","","0"
"2012/2013","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","42342","","","","0"
"2013/2014","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","41973","","","","0"
"2014/2015","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","41826","","","","0"
"2015/2016","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","41325","","","","0"
"2016/2017","Ontario","2016A000235","All educators","All ages","Males","Number","223","units","0","v65933617","7.1.1.2","41319","","","","0"
"2002/2003","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4443","","","","0"
"2003/2004","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4497","","","","0"
"2004/2005","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4389","","","","0"
"2005/2006","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4308","","","","0"
