artist,track,id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,release_year,release_date_length
Bonnie Raitt,Love Sneakin' Up On You,5GzhOU3ABPksBqLdjortcG,1994-01-01,0.641,0.63,7.0,-10.321,1.0,0.0297,0.0171,2.91e-06,0.0559,0.665,94.654,audio_features,spotify:track:5GzhOU3ABPksBqLdjortcG,https://api.spotify.com/v1/tracks/5GzhOU3ABPksBqLdjortcG,https://api.spotify.com/v1/audio-analysis/5GzhOU3ABPksBqLdjortcG,221627.0,4.0,1994,10.0
Tevin Campbell,Always in My Heart,2CD8UvBi01dwnriCM8TivL,2001,0.713,0.677,6.0,-6.761,1.0,0.0253,0.0282,5.99e-05,0.144,0.522,124.152,audio_features,spotify:track:2CD8UvBi01dwnriCM8TivL,https://api.spotify.com/v1/tracks/2CD8UvBi01dwnriCM8TivL,https://api.spotify.com/v1/audio-analysis/2CD8UvBi01dwnriCM8TivL,338732.0,4.0,2001,4.0
Haddaway,"What Is Love - 7"" Mix",2IHaGyfxNoFPLJnaEg4GTs,1993-09-13,0.683,0.772,7.0,-7.907,0.0,0.0311,0.0222,0.0149,0.203,0.737,123.871,audio_features,spotify:track:2IHaGyfxNoFPLJnaEg4GTs,https://api.spotify.com/v1/tracks/2IHaGyfxNoFPLJnaEg4GTs,https://api.spotify.com/v1/audio-analysis/2IHaGyfxNoFPLJnaEg4GTs,270373.0,4.0,1993,10.0
Babyface,And Our Feelings,27sYHmgfRvHFyQ5vrm5nQp,1993-08-24,0.741,0.592,4.0,-7.819,1.0,0.0298,0.138,0.0,0.224,0.27,128.137,audio_features,spotify:track:27sYHmgfRvHFyQ5vrm5nQp,https://api.spotify.com/v1/tracks/27sYHmgfRvHFyQ5vrm5nQp,https://api.spotify.com/v1/audio-analysis/27sYHmgfRvHFyQ5vrm5nQp,342360.0,4.0,1993,10.0
Ice Cube,Bop Gun (One Nation) - Radio Edit,0oZiK5HCMPn241PbUCslkF,2001-12-04,0.891,0.837,6.0,-5.402,1.0,0.0638,0.283,0.0,0.412,0.767,103.05,audio_features,spotify:track:0oZiK5HCMPn241PbUCslkF,https://api.spotify.com/v1/tracks/0oZiK5HCMPn241PbUCslkF,https://api.spotify.com/v1/audio-analysis/0oZiK5HCMPn241PbUCslkF,287080.0,4.0,2001,10.0
Brandy,I Wanna Be Down,6N9uyMZf9pbNOuomveWscp,1994,0.703,0.469,11.0,-6.515,0.0,0.0415,0.177,0.0,0.726,0.661,86.038,audio_features,spotify:track:6N9uyMZf9pbNOuomveWscp,https://api.spotify.com/v1/tracks/6N9uyMZf9pbNOuomveWscp,https://api.spotify.com/v1/audio-analysis/6N9uyMZf9pbNOuomveWscp,291667.0,4.0,1994,4.0
Coolio,Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,1995-11-07,0.647,0.514,8.0,-10.05,1.0,0.0593,0.0655,0.0,0.398,0.387,79.974,audio_features,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/audio-analysis/7lQWRAjyhTpCWFC0jmclT4,240693.0,4.0,1995,10.0
TLC,Waterfalls,6qspW4YKycviDFjHBOaqUY,1994-11-15,0.769,0.505,1.0,-7.345,1.0,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,audio_features,spotify:track:6qspW4YKycviDFjHBOaqUY,https://api.spotify.com/v1/tracks/6qspW4YKycviDFjHBOaqUY,https://api.spotify.com/v1/audio-analysis/6qspW4YKycviDFjHBOaqUY,279507.0,4.0,1994,10.0
TLC,Creep,1aWV3uY3SIEZVbmv45oFWS,1994-11-15,0.811,0.458,5.0,-9.688,0.0,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,audio_features,spotify:track:1aWV3uY3SIEZVbmv45oFWS,https://api.spotify.com/v1/tracks/1aWV3uY3SIEZVbmv45oFWS,https://api.spotify.com/v1/audio-analysis/1aWV3uY3SIEZVbmv45oFWS,268533.0,4.0,1994,10.0
Seal,Kiss from a Rose,3YKptz29AsOlm7WAVnztBh,1994-05-31,0.584,0.533,10.0,-7.11,0.0,0.0305,0.684,0.0,0.306,0.224,131.745,audio_features,spotify:track:3YKptz29AsOlm7WAVnztBh,https://api.spotify.com/v1/tracks/3YKptz29AsOlm7WAVnztBh,https://api.spotify.com/v1/audio-analysis/3YKptz29AsOlm7WAVnztBh,288427.0,3.0,1994,10.0
Boyz II Men,On Bended Knee,4Gmkqn3V7IMTkOmmiX7cbb,1994-08-30,0.632,0.513,8.0,-8.246,1.0,0.0336,0.377,0.0,0.118,0.185,116.632,audio_features,spotify:track:4Gmkqn3V7IMTkOmmiX7cbb,https://api.spotify.com/v1/tracks/4Gmkqn3V7IMTkOmmiX7cbb,https://api.spotify.com/v1/audio-analysis/4Gmkqn3V7IMTkOmmiX7cbb,329800.0,4.0,1994,10.0
Mariah Carey,Fantasy,6xkryXuiZU360Lngd4sx13,1995-10-03,0.669,0.727,7.0,-7.588,1.0,0.0353,0.139,0.0,0.123,0.807,102.322,audio_features,spotify:track:6xkryXuiZU360Lngd4sx13,https://api.spotify.com/v1/tracks/6xkryXuiZU360Lngd4sx13,https://api.spotify.com/v1/audio-analysis/6xkryXuiZU360Lngd4sx13,243493.0,4.0,1995,10.0
Madonna,Take a Bow,5oqukcHWfqq7HGjyKwLX1y,1994-10-25,0.568,0.366,8.0,-8.854,1.0,0.0258,0.417,3.39e-06,0.0664,0.311,79.98,audio_features,spotify:track:5oqukcHWfqq7HGjyKwLX1y,https://api.spotify.com/v1/tracks/5oqukcHWfqq7HGjyKwLX1y,https://api.spotify.com/v1/audio-analysis/5oqukcHWfqq7HGjyKwLX1y,321360.0,4.0,1994,10.0
Monica,Don't Take It Personal (Just One of Dem Days),5HEjbOF2miSnhwJX41mXZJ,1995-10-20,0.731,0.355,8.0,-12.741,1.0,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72,audio_features,spotify:track:5HEjbOF2miSnhwJX41mXZJ,https://api.spotify.com/v1/tracks/5HEjbOF2miSnhwJX41mXZJ,https://api.spotify.com/v1/audio-analysis/5HEjbOF2miSnhwJX41mXZJ,258467.0,4.0,1995,10.0
Montell Jordan,This Is How We Do It,1yRBHnXfl6wjCnM6dYRXq0,1995-04-04,0.775,0.613,0.0,-9.831,1.0,0.145,0.0413,0.0,0.5,0.789,103.65,audio_features,spotify:track:1yRBHnXfl6wjCnM6dYRXq0,https://api.spotify.com/v1/tracks/1yRBHnXfl6wjCnM6dYRXq0,https://api.spotify.com/v1/audio-analysis/1yRBHnXfl6wjCnM6dYRXq0,277014.0,4.0,1995,10.0
Dionne Farris,I Know,698R7h4SU5zyNil1iReHAX,1994-10-25,0.589,0.962,7.0,-6.815,1.0,0.181,0.0502,0.00225,0.242,0.503,103.396,audio_features,spotify:track:698R7h4SU5zyNil1iReHAX,https://api.spotify.com/v1/tracks/698R7h4SU5zyNil1iReHAX,https://api.spotify.com/v1/audio-analysis/698R7h4SU5zyNil1iReHAX,227827.0,4.0,1994,10.0
Boyz II Men,Water Runs Dry,1i1H1aogIEHNLtNLxCxQsF,1994-08-30,0.587,0.369,0.0,-12.994,1.0,0.0262,0.462,0.0,0.079,0.529,89.599,audio_features,spotify:track:1i1H1aogIEHNLtNLxCxQsF,https://api.spotify.com/v1/tracks/1i1H1aogIEHNLtNLxCxQsF,https://api.spotify.com/v1/audio-analysis/1i1H1aogIEHNLtNLxCxQsF,201387.0,4.0,1994,10.0
