,Name,Height (inches)
449,Mike Scott,79
450,Jay Scrubb,77
451,Collin Sexton,73
452,Landry Shamet,76
453,Iman Shumpert,77
454,Pascal Siakam,81
455,Chris Silva,80
456,Ben Simmons,83
457,Anfernee Simons,75
458,Deividas Sirvydis,80
459,Alen Smailagić,82
460,Marcus Smart,75
461,Dennis Smith Jr.,74
462,Ish Smith,72
463,Jalen Smith,82
464,Tony Snell,78
465,Ray Spalding,82
466,Cassius Stanley,77
467,Lamar Stevens,78
468,Isaiah Stewart,80
469,Max Strus,77
470,Edmond Sumner,76
471,Jae'Sean Tate,76
472,Jayson Tatum,80
473,Jeff Teague,75
474,Garrett Temple,77
475,Tyrell Terry,74
476,Daniel Theis,80
477,Brodric Thomas,77
478,Isaiah Thomas,69
479,Khyri Thomas,75
480,Matt Thomas,76
481,Tristan Thompson,81
482,Sindarius Thornwell,76
483,Matisse Thybulle,77
484,Killian Tillie,81
485,Xavier Tillman Sr.,80
486,Anthony Tolliver,80
487,Obi Toppin,81
488,Juan Toscano-Anderson,78
489,Axel Toupane,79
490,Karl-Anthony Towns,83
491,Gary Trent Jr.,77
492,P.J. Tucker,77
493,Rayjon Tucker,75
494,Myles Turner,83
495,Jonas Valančiūnas,83
496,Denzel Valentine,76
497,Jarred Vanderbilt,81
498,Fred VanVleet,73
499,Anderson Varejão,82
500,Devin Vassell,77
501,Gabe Vincent,75
502,Noah Vonleh,82
503,Nikola Vučević,82
504,Dean Wade,81
505,Moritz Wagner,83
506,Kemba Walker,72
507,Lonnie Walker IV,76
508,John Wall,75
509,Brad Wanamaker,75
510,T.J. Warren,80
511,P.J. Washington,79
512,Yuta Watanabe,81
513,Tremont Waters,70
514,Paul Watson,78
515,Quinndary Weatherspoon,75
516,Russell Westbrook,75
517,Coby White,77
518,Derrick White,76
519,Hassan Whiteside,84
520,Greg Whittington,80
521,Andrew Wiggins,79
522,Grant Williams,78
523,Kenrich Williams,78
524,Lou Williams,73
525,Patrick Williams,79
526,Robert Williams,80
527,Zion Williamson,78
528,D.J. Wilson,82
529,Dylan Windler,78
530,Justise Winslow,78
531,Cassius Winston,73
532,James Wiseman,84
533,Christian Wood,82
534,Robert Woodard II,78
535,Delon Wright,77
536,Thaddeus Young,80
537,Trae Young,73
538,Cody Zeller,83
539,Ivica Zubac,84
